id_sensor,pulse_rate,id_actividad,Longitud,Latitud,fecha_hora
853dc9e4-6094-4511-8015-4f193811ba02,173,d2b9f5a4-e457-4065-b35a-35f6392c55aa,-47.9247,-38.5258,07/08/2023 06:10
278b2f82-087a-469c-b53e-23526dbc9d7e,128,742ceebe-7cbd-42ab-934c-47a012fa1c3d,100.6432,60.0272,03/01/2023 02:16
ea0b5fad-ff1d-4915-86eb-eb4f93b16ffe,148,f079c279-1249-40e9-accb-4174eb8f5978,112.6225,-7.7611,09/17/2023 07:09
f6f4ad28-30e2-4c83-b891-f1e80c10e833,110,b8db20aa-9915-4261-9646-ff6e50fc9f55,100.6432,60.0272,05/27/2023 10:45
e63edcf3-eca8-412f-af1e-afa70c34bf77,170,59b61169-ecde-4989-ace3-a4612acac316,-78.4163,22.2258,08/24/2023 06:49
bab58192-fc85-49c5-a259-ed965a171eb2,42,8ea971d8-bc3e-44c2-ab2d-7a8fe1f12c69,106.3456,35.3371,05/18/2023 00:35
cafd29e6-3782-4fa9-9829-ca309c29914c,197,f0c4dc60-3cf3-4f9a-8e7d-a06c734c94ec,-47.9247,-38.5258,05/14/2023 09:20
ce9ed08c-ccdc-48d0-be2d-27f7ff1f6128,198,32bf0c7b-f21a-44bb-9e26-194e714e2dbf,-63.2369,-17.4052,12/08/2022 01:13
999d5a48-6543-4bdf-bf35-4e0472569299,166,d25130a0-8a5d-4d44-8143-2a7f9ea02994,105.7858,17.0296,10/29/2023 14:26
833ffb9f-2bcd-4424-bff9-2a54dbf6a06a,171,c1cc1ec2-c886-4018-83b2-642be4d339bf,-102.234,54.263,08/23/2023 02:31
33cd50a4-13de-4c9d-8ed6-7e58fa5f516c,93,bbf9ea4b-92da-4d5a-8fef-e9c8bf1fb232,106.3456,35.3371,02/28/2023 05:34
0fea6730-98b8-4ae7-8259-0380772f3451,64,b17e5626-7322-41f6-8a21-4af6c3287764,106.3456,35.3371,10/16/2023 02:16
8099ae7b-7b54-4e58-9dcc-654a8a3d58ab,40,85973b7a-ccbc-4685-a730-a1ebf9ae21da,-47.9247,-38.5258,04/18/2023 14:43
cacba4b7-580d-40bc-a1c1-bf8ce1d66dd6,109,450dfea1-0901-4031-af93-ad709294dcff,100.6432,60.0272,04/04/2023 02:09
280b39f5-153d-4c9f-ac95-8d658910b952,166,403e65e0-fb25-4c9d-933d-5b1d34aa0d22,112.6225,-7.7611,06/14/2023 20:30
9293d8f3-cf73-4882-8aa0-e5643fc9087d,138,2e97bcf6-f08d-4389-8597-e31bf8594a67,106.3456,35.3371,03/14/2023 23:00
39bf036f-0d81-4ff3-b794-29d56daa5fad,144,97a271fd-5536-4542-9729-03b72ee45dfd,103.3027,4.6123,09/27/2023 11:21
f709fcfb-7a2b-43b3-8016-06d7bdabde9a,197,1464ffdb-52a1-4cae-a9b1-51ec670e0975,21.0284,44.0241,08/03/2023 23:13
ab68d4ad-5c8a-4568-b207-bdef9a9f95b9,62,a0aef17f-da73-46f3-8d2e-6349b22df94f,-7.5938,33.685,01/28/2023 15:36
