id_actividad,id_usuario,id_dispositivo,id_plan,pais,Longitud,Latitud,duracion,fecha_hora
d2b9f5a4-e457-4065-b35a-35f6392c55aa,62ae8127-7584-4fee-9ba1-a9fb77b22111,5f6742cf-0cc3-4994-8ae8-8d67aaf586b4,1a257404-2741-4d5b-aae3-90f1e49b0471,Brazil,-47.9247,-38.5258,1.47,07/08/2023 06:10
742ceebe-7cbd-42ab-934c-47a012fa1c3d,bf91106f-2604-41a0-9340-79033a11b2d5,9c9d7ede-4915-4fd1-a6d8-3ec8ff453c36,296f1010-fd8b-4feb-a7dc-64d429099a65,Russia,100.6432,60.0272,2.78,03/01/2023 02:16
f079c279-1249-40e9-accb-4174eb8f5978,5c8d1f57-d9d6-4e0c-83ab-1bded80e660a,af1e4b22-9836-4ff4-bfb0-c87508e73036,d3c2f38b-249f-40c1-8230-d0ee763aa16e,Indonesia,112.6225,-7.7611,3.43,09/17/2023 07:09
b8db20aa-9915-4261-9646-ff6e50fc9f55,f8c1ed92-4786-4f9c-bb84-1596dde0a5bb,5d5aa38b-9e5e-412d-b86b-e7528bcf5933,b206f2a3-5ddd-47a3-8884-c56d41266413,Russia,100.6432,60.0272,2.7,05/27/2023 10:45
59b61169-ecde-4989-ace3-a4612acac316,40613c17-e5e7-4d12-aa4d-6e24437fffe6,39e8db1f-0258-459f-9aa4-cbceb3f15dbc,147cd3b7-c8c6-4b6d-8203-712dacfe22b6,Cuba,-78.4163,22.2258,1.45,08/24/2023 06:49
8ea971d8-bc3e-44c2-ab2d-7a8fe1f12c69,88d695a1-1c4a-48e0-abfa-9246349ea3ef,6188ae01-946b-40e8-b472-41b6458ae3bd,0c384ba2-f2c6-4ca0-bf0a-6bac6a4bbbfa,China,106.3456,35.3371,1.96,05/18/2023 00:35
f0c4dc60-3cf3-4f9a-8e7d-a06c734c94ec,da8f364f-cd65-474d-b114-036b94d0419b,0b8d0acd-7391-4498-a529-a506ada0779e,bd1a59f8-8928-4e7b-be89-7b8a8346cfde,Brazil,-47.9247,-38.5258,1.7,05/14/2023 09:20
32bf0c7b-f21a-44bb-9e26-194e714e2dbf,9f6a1ff5-24ba-478c-afc1-092c8d1e7256,cac63327-f1b8-4ba4-bc67-16bc66edc032,952079f9-5b2e-4fe8-a3a0-302fd7ced8fe,Bolivia,-63.2369,-17.4052,3.99,12/08/2022 01:13
d25130a0-8a5d-4d44-8143-2a7f9ea02994,217c6845-7c0d-4bf0-96ca-44b045d39c3d,a8ec5dc7-b977-4322-8542-c7889ee7590b,2c829d9d-fe05-41cb-84cb-f634db3e50f3,Vietnam,105.7858,17.0296,3.14,10/29/2023 14:26
c1cc1ec2-c886-4018-83b2-642be4d339bf,a533b8dd-d69d-4805-bef4-47e036842b99,5f6742cf-0cc3-4994-8ae8-8d67aaf586b4,1e2d7203-4d5d-4bcd-8692-56fe354b321f,Canada,-102.234,54.263,3.39,08/23/2023 02:31
bbf9ea4b-92da-4d5a-8fef-e9c8bf1fb232,3fa6fb41-0984-4859-bb7d-236d3d05dd4c,9c9d7ede-4915-4fd1-a6d8-3ec8ff453c36,5e91d1d7-7a6d-45c5-bf45-af03bdc65f63,China,106.3456,35.3371,1.36,02/28/2023 05:34
b17e5626-7322-41f6-8a21-4af6c3287764,09811ba4-6c48-4da9-ba48-68a20956891a,af1e4b22-9836-4ff4-bfb0-c87508e73036,9486001c-d371-4452-863e-13f6b2b4cd18,China,106.3456,35.3371,2.12,10/16/2023 02:16
85973b7a-ccbc-4685-a730-a1ebf9ae21da,2c5556f3-2ea1-44bc-a1b5-d80f9d0086ef,5d5aa38b-9e5e-412d-b86b-e7528bcf5933,ae8ad1f2-6948-4834-a3e8-7d67f3a2d137,Brazil,-47.9247,-38.5258,2.4,04/18/2023 14:43
450dfea1-0901-4031-af93-ad709294dcff,47a17097-468a-4768-a59a-caaee73443a8,39e8db1f-0258-459f-9aa4-cbceb3f15dbc,ad24d4a2-6d6a-4fdf-86ec-f76929fdeb10,Russia,100.6432,60.0272,1.03,04/04/2023 02:09
